thermostat_id,equipment_type,zipcode,utc_offset,interval_data_filename
A842E3B07A88,3,92264,-8,thermo_a842e3-b07a88-GI8f6f.csv
30C922A3F7EC,1,97457,-8,thermo_30c922-a3f7ec-wTTG7X.csv
80646FFDDE8C,2,83848,-8,thermo_80646f-fdde8c-yXdjyi.csv
08D1F983A504,2,95132,-8,thermo_08d1f9-83a504-pbswo8.csv
5443B2F9B230,3,95409,-8,thermo_5443b2-f9b230-CK2lco.csv
08D1F983BB90,2,98118,-8,thermo_08d1f9-83bb90-0lhdKa.csv
08D1F98429C4,2,98033,-8,thermo_08d1f9-8429c4-koglEX.csv
80646FFD4EF8,2,95117,-8,thermo_80646f-fd4ef8-QRBuUs.csv
80646FFD674C,2,98229,-8,thermo_80646f-fd674c-Ogyy3z.csv
80646FFDD9E4,2,92314,-8,thermo_80646f-fdd9e4-H4vuJI.csv
A0DD6C0093E4,2,97702,-8,thermo_a0dd6c-0093e4-rve5f5.csv
80646FFD5CCC,2,98027,-8,thermo_80646f-fd5ccc-rDVWSB.csv
A842E3B07B68,1,97502,-8,thermo_a842e3-b07b68-AuJgHj.csv
80646FFD8110,2,92084,-8,thermo_80646f-fd8110-qn9Uik.csv
80646FFD49C8,2,98144,-8,thermo_80646f-fd49c8-nnD22I.csv
08D1F9846E30,2,94089,-8,thermo_08d1f9-846e30-TNHo3p.csv
80646FFD60F8,2,95762,-8,thermo_80646f-fd60f8-a16jc6.csv
08D1F980B630,2,91377,-8,thermo_08d1f9-80b630-sRQxez.csv
80646FFD5F00,2,98029,-8,thermo_80646f-fd5f00-Pn8qep.csv
24DCC3AFA2F0,3,91911,-8,thermo_24dcc3-afa2f0-0pbdMl.csv
80646FFD8378,2,98012,-8,thermo_80646f-fd8378-ottT4I.csv
30C922A3CBD4,2,92082,-8,thermo_30c922-a3cbd4-mtWWLY.csv
30C922A3E644,1,97006,-8,thermo_30c922-a3e644-nHrbxz.csv
80646FFD52A4,2,90039,-8,thermo_80646f-fd52a4-Qh7e0n.csv
80646FFDE3A8,2,95051,-8,thermo_80646f-fde3a8-Xm9p03.csv
94B555A19490,3,98053,-8,thermo_94b555-a19490-SkRmGU.csv
80646FFD543C,2,98116,-8,thermo_80646f-fd543c-hidFT2.csv
B0A732C55CEC,3,95991,-8,thermo_b0a732-c55cec-zFUvN4.csv
B0A732C48EB0,2,98349,-8,thermo_b0a732-c48eb0-e2LreV.csv
80646FFDEC08,2,98036,-8,thermo_80646f-fdec08-OG7dVQ.csv
